"player_id","name","height_in","weight","position"
"1630543","Isaiah Jackson","81","205","Forward"
"1631245","Quenton Jackson","77","173","Guard"
"202704","Reggie Jackson","74","208","Guard"
"1641748","Andre Jackson Jr.","78","209","Guard"
"1628991","Jaren Jackson Jr.","82","242","Forward-Center"
"1631218","Trayce Jackson-Davis","81","245","Forward"
"1642355","Bronny James","75","210","Guard"
"2544","LeBron James","81","250","Forward"
"1631170","Jaime Jaquez Jr.","78","225","Guard"
"1629610","DaQuan Jeffries","77","222","Guard-Forward"
"1641998","Trey Jemison III","83","270","Center"
"1642450","Daniss Jenkins","75","165","Guard"
"1629660","Ty Jerome","77","195","Guard-Forward"
"1630198","Isaiah Joe","75","165","Guard"
"1642358","AJ Johnson","77","160","Guard"
"1629661","Cameron Johnson","80","210","Forward"
"1630552","Jalen Johnson","80","219","Forward"
"201949","James Johnson","79","240","Forward"
"1629640","Keldon Johnson","77","220","Forward-Guard"
"1630553","Keon Johnson","77","185","Guard"
"1642352","Keshad Johnson","79","225","Forward"
"203999","Nikola Jokić","83","284","Center"
"1641732","Colby Jones","78","207","Guard"
"1641794","Dillon Jones","77","235","Forward"
"1630529","Herbert Jones","79","206","Forward"
"1642403","Isaac Jones","81","245","Forward"
"1630539","Kai Jones","83","221","Center-Forward"
"1630222","Mason Jones","76","200","Guard"
"1642461","Spencer Jones","79","225","Forward"
"1630200","Tre Jones","73","185","Guard"
"1626145","Tyus Jones","73","196","Guard"
"1627884","Derrick Jones Jr.","78","210","Forward"
"201599","DeAndre Jordan","83","265","Center"
"202709","Cory Joseph","74","200","Guard"
"1631107","Nikola Jović","82","205","Forward"
"1630548","Johnny Juzang","77","226","Guard"
"1642530","Yuki Kawamura","68","159","Guard"
"1630283","Kylor Kelley","84","230","Center"
"1628379","Luke Kennard","77","206","Guard"
"1631117","Walker Kessler","84","245","Center"
"1630296","Braxton Key","80","225","Forward"
"1630557","Corey Kispert","78","224","Forward"
"1628467","Maxi Kleber","82","240","Forward"
"1641752","Bobi Klintman","81","225","Forward"
"1642261","Dalton Knecht","78","215","Forward"
"1628995","Kevin Knox II","80","215","Forward"
"1642278","Tyler Kolek","75","195","Guard"
"1631132","Christian Koloko","84","225","Center"
"1629723","John Konchar","77","210","Guard"
"1628436","Luke Kornet","85","250","Center-Forward"
"1630249","Vít Krejčí","80","195","Guard"
"1630228","Jonathan Kuminga","79","225","Forward"
"1628398","Kyle Kuzma","81","221","Forward"
"1631222","Jake LaRavia","79","235","Forward"
"203897","Zach LaVine","77","200","Guard"
"1627746","Skal Labissiere","82","235","Forward-Center"
"1629111","Jock Landale","83","255","Center"
"1641796","Pelle Larsson","77","215","Guard"
"1630639","A.J. Lawson","78","179","Guard"
"1627747","Caris LeVert","78","205","Guard"
"1627814","Damion Lee","78","210","Guard-Forward"
"203458","Alex Len","84","250","Center"
"202695","Kawhi Leonard","79","225","Forward"
"1642502","Malevy Leons","81","210","Forward"
"1641721","Maxwell Lewis","79","215","Forward"
"1630604","E.J. Liddell","78","240","Forward"
"203081","Damian Lillard","74","195","Guard"
"1641726","Dereck Lively II","85","230","Center"
"1641753","Chris Livingston","78","220","Forward"
